housenum,acre,adj1998,adj2007,adj2011,bedrooms,bikescore,distance,garage_spaces,latitude,longitude,price1998,price2007,price2011,price2014,squarefeet,streetname,streetno,walkscore,zip
1,0.28,148.36255,233.84185,191.82112,3,35,2.4,2,42.315334,-72.693973,101.5,203.5,181.1,210.729,0.966,Acrebrook Drive,406,9,1062
2,0.29,135.20725,261.42025,206.96768,3,44,1.97,1,42.298557,-72.674744,92.5,227.5,195.4,204.171,0.96,Autumn Dr,57,5,1062
3,0.36,256.52835,401.0359,347.9472,3,66,0.043371212,2,42.343788,-72.680235,175.5,349,328.5,338.662,1.725,Bridge Road,31,46,1062
4,0.26,231.67945,305.08605,257.49152,3,61,0.554734848,1,42.344462,-72.672208,158.5,265.5,243.1,276.25,1.727,Bridge Road,200,40,1060
5,0.31,271.8762,298.766,236.62528,4,53,0.596590909,0,42.342528,-72.664372,186,260,223.4,169.173,1.576,Bridge Road,395,32,1062
6,0.31,192.9444,275.784,243.29824,3,36,1.88,1,42.318737,-72.690965,132,240,229.7,211.487,1.32,Brierwood Drive,23,12,1062
7,0.08,171.0189,303.93695,297.95296,3,97,0.444886364,0,42.323106,-72.633517,117,264.5,281.3,311.456,1.202,Bright Avenue,18,82,1060
8,0.11,213.4082,380.92665,378.76992,4,95,0.444886364,0,42.322986,-72.633565,146,331.5,357.6,377.857,2.136,Bright Street,23,88,1060
9,0.31,427.54725,336.11175,260.24544,5,38,1.93,0,42.315429,-72.670203,292.5,292.5,245.7,227.681,1.918,Burts Pit Rd,497,15,1062
10,0.27,163.7104,249.92925,212.79328,3,30,2.873030303,0,42.310364,-72.69491,112,217.5,200.9,224.366,1.008,Burts Pit Rd,1086,9,1062
11,0.27,177.59655,271.76215,215.97088,3,46,0.756628788,0,42.345666,-72.668673,121.5,236.5,203.9,218.785,1.296,Carolyn Street,14,35,1062
12,0.51,200.98375,309.1079,277.29856,3,38,1.41,2,42.319053,-72.664917,137.5,269,261.8,269.62,1.432,Clement St,21,20,1062
13,0.23,238.2571,471.131,434.48384,4,79,1.42155303,0,42.310611,-72.633241,163,410,410.2,447.842,2.04,Columbus Ave,46,68,1060
14,0.11,263.83685,448.72355,394.65792,3,85,0.246780303,0,42.326163,-72.639853,180.5,390.5,372.6,386.446,1.604,Crescent Street,156,65,1060
15,0.15,331.8059,564.2081,450.6896,4,74,0.396022727,0,42.325698,-72.640736,227,491,425.5,528.114,2.278,Crescent Street,176,68,1060
16,0.23,167.36465,256.82385,215.33536,3,36,1.567234848,0,42.320944,-72.67951,114.5,223.5,203.3,221.22,1.208,Crestview Dr,15,20,1062
17,0.23,217.06245,321.748,310.98112,5,37,1.676704545,0,42.319672,-72.678576,148.5,280,293.6,320.206,1.744,Crestview Dr,64,17,1062
18,0.23,154.9402,238.43825,201.67168,3,36,1.598674242,0,42.320531,-72.679207,106,207.5,190.4,179.487,1.008,Crestview Drive,31,17,1062
19,0.31,225.83265,337.8354,250.39488,4,79,0.103030303,0,42.308126,-72.646001,154.5,294,236.4,243.639,1.922,Earle St,184,49,1060
20,0.07,204.638,318.87525,328.66976,4,94,0.3375,0,42.311589,-72.635034,140,277.5,310.3,325.666,2.1,Edgewood Terrace,1,80,1060
21,0.23,189.29015,280.3804,280.58208,4,54,1,1,42.32391,-72.656634,129.5,244,264.9,282.765,1.664,Federal Street,139,29,1062
22,0.17,148.36255,243.6092,225.71552,2,70,0.042045455,1,42.343097,-72.679185,101.5,212,213.1,198.686,0.892,Fern St,111,45,1062
23,0.33,127.1679,218.329,181.33504,3,29,2.15,0,42.306509,-72.674787,87,190,171.2,168.761,1.01,Florence Rd,731,3,1062
24,0.33,160.787,239.0128,205.59072,3,32,2.621401515,0,42.311922,-72.696602,110,208,194.1,200.871,1.248,Forest Glen Dr,41,11,1062
25,0.31,165.90295,268.8894,236.2016,3,33,2.579734848,1,42.312961,-72.696535,113.5,234,223,237.206,1.3,Forest Glen Dr.,77,9,1062
26,0.34,154.20935,247.0565,212.47552,3,31,2.7,1,42.310772,-72.696702,105.5,215,200.6,205.77,1.04,Forest Glen Drive,11,9,1062
27,0.13,196.59865,309.68245,263.31712,4,83,0.216738636,0,42.328282,-72.642337,134.5,269.5,248.6,287.489,1.466,Franklin Street,155,60,1060
28,0.23,193.67525,293.0205,227.41024,3,28,1.91,1,42.323328,-72.690341,132.5,255,214.7,223.067,1.636,Golden Drive,7,18,1062
29,0.21,178.3274,282.10405,221.79648,4,46,0.708522727,1,42.34472,-72.66787,122,245.5,209.4,237.594,1.335,Grandview Street,27,32,1062
30,0.14,204.638,282.6786,261.94016,4,32,2.011742424,0,42.31978,-72.697778,140,246,247.3,275.218,1.512,Gregory Lane,31,14,1062
31,0.21,181.2508,278.0822,249.65344,4,27,1.991666667,1,42.319787,-72.697766,124,242,235.7,280.283,1.752,Gregory Lane,32,18,1062
32,0.14,211.21565,320.5989,226.45696,3,88,0.892045455,0,42.318904,-72.624688,144.5,279,213.8,237.789,1.912,Hancock St,8,92,1060
33,0.26,151.28595,237.8637,205.69664,3,38,0.875378788,0,42.346922,-72.668068,103.5,207,194.2,191.694,0.942,Harold Street,34,22,1062
34,0.56,238.98795,434.93435,400.16576,3,87,0.329545455,0,42.328618,-72.640122,163.5,378.5,377.8,365.506,1.675,Hayes Avenue,24,57,1060
35,0.11,271.14535,509.0513,457.78624,4,74,0.326515152,1,42.325601,-72.640816,185.5,443,432.2,474.245,1.8,Hillside Road,33,68,1060
36,0.32,196.59865,285.55135,275.9216,3,48,0.704356061,0,42.326028,-72.661687,134.5,248.5,260.5,259.48,1.412,Hinckley Street,90,37,1062
37,0.5,216.3316,348.75185,281.2176,3,44,0.866856061,2,42.324689,-72.661135,148,303.5,265.5,326.891,1.763,Hinckley Street,36,31,1062
38,0.34,213.4082,345.8791,244.1456,4,77,0.204734848,2,42.334671,-72.643834,146,301,230.5,228.829,1.796,Jackson Street,155,48,1060
39,0.19,290.14745,486.64385,414.78272,4,75,0.138825758,2,42.330071,-72.645634,198.5,423.5,391.6,426.5,2.224,Jackson Street,14,48,1060
